,title,company,location,summary,link
464,Data Scientist,ACHNET Inc,"Plano, TX",Building and owning large scale machine learning models.,https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3
465,Data Scientist,"Kajeet, Inc.","McLean, VA",Identifying patterns and trends in data sets.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGYgx8CVc3ujNE8H7ZQ_O6tzIUAzMYlqvHKmN_yDNwuUcx9cwl5lia3U-gn5uMpw7lSE0BAg9AhgefeQ61YHCzaSoXSDQ3y_LaUopxwb3ZxHvA2NjqY0qTgzHWM6D2e780ky0LMAC28QrqXW9LBAV3Wum5_KgEZJB8NvSD0Qk-nwomns3Xgyv6kGhq3pXJP37-Ywt3Xb930ju-kaPQ_jKEjZtDPf6W0R2ATA7Q4usmbSmFcwOntvFJok5O0SlpKQVgvd693-jVkWx9IxN22QJYjtNH--gPH9h3WprEKwWyqw3aAhL5rHVUJHHi1bX-X0dPSUV_ltSCBvZNawToPMaecHimnO8MMNWfF3lS0E1jMmjCew1pN35aIuFRKBfg3ZQAGSukfKJgSbmZuc2Q7Lcmjy1xFg5Xl1Sz8MQ21-h9qouEMSiVBkM3&p=0&fvj=1&vjs=3
466,Data Scientist,Cognowiz solutions LLC,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.",https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3
467,"Data Scientist, Intermediate",UVA Medical Center,"Charlottesville, VA",Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.,https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3
468,Data Scientist,Bains Consulting LLC,"Washington, DC","10+ years of software development experience and be well versed in all aspects of agile software development methodologies, data and application architecture,…",https://www.indeed.com/company/Bains-Consultiing-LLC/jobs/Data-Scientist-d45d4fe55396d210?fccid=a4daa6730e49fbd2&vjs=3
469,Data Scientist,Arshi Systems Inc.,"Charlotte, NC","The Data Scientist needs to have a passion for discovering insights in massive amounts of data, a high level of creativity, and a track record of building…",https://www.indeed.com/company/Arshisystems/jobs/Data-Scientist-7f87061bd1cf7978?fccid=4d47293ec5364fb5&vjs=3
470,Data Scientist,MedThink,"Cary, NC","The Data Scientist position (a member of the Insights & Connections department) involves understanding business and data analytics problems, developing data…",https://www.indeed.com/rc/clk?jk=150f90500e0c7d8a&fccid=0b20e67a8cb5eab7&vjs=3
471,Data Scientist,Lore Ventures,"Palo Alto, CA",Present information using data visualization techniques.,https://www.indeed.com/company/Lore-Ventures/jobs/Data-Scientist-35d4088a490e2b7f?fccid=4c45ad5264ad03c6&vjs=3
472,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…",https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3
473,AI/ML Data Scientist,Applied Information Sciences,"Reston, VA",Ability to provide subject matter guidance.,https://www.indeed.com/rc/clk?jk=3c3e47c720381f1d&fccid=edbbf93fc5210a17&vjs=3
474,Data Scientist (All Levels) - Reduced Form Causal Analysis,Twitter,"Seattle, WA",Providing technical guidance and review to junior data scientists.,https://www.indeed.com/rc/clk?jk=5db3657b02c357cf&fccid=7a3824693ee1074b&vjs=3
475,Data Scientist,DataLab USA,"Germantown, MD","Identify patterns & trends in data, and provides insights to enhance business decision making.",https://www.indeed.com/company/Datalab-USA/jobs/Data-Scientist-e514d7f23ee0206b?fccid=b9a42c510078fe6e&vjs=3
476,Data Scientist,ACHNET Inc,"Plano, TX",Building and owning large scale machine learning models.,https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3
477,Forward Deployed Data Scientist,Cresta,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).",https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3
478,"Psomagen, Inc.] Bioinformatics Data Scientist I/II/III","Psomagen, Inc.","Rockville, MD","In Rockville, MD is seeking Computational Scientists/Bioinformaticians to work on implementing analytic pipelines, computational analysis, and/or interpretation…",https://www.indeed.com/company/Macrogen-Corp./jobs/Bioinformatic-Data-Scientist-cd40cad56160ec87?fccid=6229ee526a7f8557&vjs=3
479,Data Scientist I,Novant Health,"Winston-Salem, NC",The Associate must be proficient in employing large scale data analytics to derive actionable insights.,https://www.indeed.com/rc/clk?jk=477ebd7a28590968&fccid=cfd1fe74085d0235&vjs=3
480,Data Scientist,National Security Agency,"Fort Meade, MD","Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCee1dkQkxJJ_jTPTeaAj6bQY7W8nqpUJM6WNhg1Fr7srQjxek9SAawvVC9GMiVTmhP2Xm5DNNsoU4gf5Acij-lse_XhcJqcfQTQMOzqmeOqC7PolvMwbQmDnHW6VsEyV6bCcKCK_hxcY5StXIy_2e5ZQXVpBRB8bjC3MRP1OHj2Dj4B2MkARcJz5YGw4GzuRJNzpz3xAi8LqDnJticPbF013JDDW9FKGyILnX4345MdD0ERGZlcXPdHmwql92FqmMNUnoGnpKHLDeqxg-dHPXv5l_JyjcBT5PBe-N77KicDHOmp_B1Yvfgom0L3eDwEWGy552DDev5Vpvx2bxN1GLaLfbuwmLwNqQCLGcMIfb_Uow==&p=0&fvj=0&vjs=3
481,Data Scientist,Cognowiz solutions LLC,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.",https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3
482,"Data Scientist, Intermediate",UVA Medical Center,"Charlottesville, VA",Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.,https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3
483,Data Scientist,Bains Consulting LLC,"Washington, DC","10+ years of software development experience and be well versed in all aspects of agile software development methodologies, data and application architecture,…",https://www.indeed.com/company/Bains-Consultiing-LLC/jobs/Data-Scientist-d45d4fe55396d210?fccid=a4daa6730e49fbd2&vjs=3
484,Data Scientist,Arshi Systems Inc.,"Charlotte, NC","The Data Scientist needs to have a passion for discovering insights in massive amounts of data, a high level of creativity, and a track record of building…",https://www.indeed.com/company/Arshisystems/jobs/Data-Scientist-7f87061bd1cf7978?fccid=4d47293ec5364fb5&vjs=3
485,Data Scientist,MedThink,"Cary, NC","The Data Scientist position (a member of the Insights & Connections department) involves understanding business and data analytics problems, developing data…",https://www.indeed.com/rc/clk?jk=150f90500e0c7d8a&fccid=0b20e67a8cb5eab7&vjs=3
486,Data Scientist,Lore Ventures,"Palo Alto, CA",Present information using data visualization techniques.,https://www.indeed.com/company/Lore-Ventures/jobs/Data-Scientist-35d4088a490e2b7f?fccid=4c45ad5264ad03c6&vjs=3
